filename,chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
artifact__201012172012.wav,0.6470736265182495,0.002653667004778981,3579.9960638232,2809.94605820479,6985.72073081105,0.3357323715367268,-594.029052734375,38.6850471496582,5.528637886047363,5.631155014038086,3.4028663635253906,1.3217813968658447,-0.9797301888465881,-2.110060930252075,-3.675011157989502,-1.3182225227355957,-2.662731409072876,-2.3825533390045166,-3.30783748626709,-1.869186282157898,-2.3946096897125244,-1.824148416519165,-2.2183871269226074,-1.1102731227874756,-1.8190983533859253,-1.1540108919143677,artifact
artifact__201105041959.wav,0.7130081057548523,0.0006658372585661709,4168.688684065357,2980.8791466672337,7899.827402645779,0.36716358932023196,-559.3621826171875,35.351219177246094,-13.11902141571045,-3.854262113571167,-10.170295715332031,-2.961953639984131,-8.500693321228027,0.07070396095514297,-6.70117712020874,-0.19990038871765137,-6.802879810333252,0.7133316993713379,-5.390545845031738,1.7639292478561401,-4.235977649688721,2.043361186981201,-3.8468117713928223,2.0970215797424316,-3.5962073802948,1.2344237565994263,artifact
artifact__201105061143.wav,0.5329802632331848,0.003038855269551277,4964.378946626872,2308.8646170234406,7105.790537411404,0.45458984375,-645.0315551757812,49.121986389160156,-17.14451026916504,15.183242797851562,1.7882263660430908,6.167754173278809,-2.773487091064453,5.258871078491211,-4.156458854675293,0.8058451414108276,-3.39078950881958,-0.5380885601043701,-4.716518402099609,-1.0781505107879639,-3.6929521560668945,-2.2532637119293213,-6.206917762756348,-4.604228973388672,-4.2287750244140625,-1.4994080066680908,artifact
artifact__201105060108.wav,0.5419871807098389,0.019571518525481224,2389.502622179082,2490.349550841274,5113.719507591011,0.12838273195876287,-291.524169921875,95.6932373046875,-11.997632026672363,8.995484352111816,-4.294098377227783,2.2639975547790527,-8.406081199645996,-6.354174613952637,-8.621305465698242,-3.3865671157836914,-10.900212287902832,-7.718980312347412,-7.310489177703857,-1.163087248802185,-8.452893257141113,-5.573233604431152,-7.350812911987305,-2.080228567123413,-3.4875082969665527,-0.0637059137225151,artifact
artifact__201105051017.wav,0.4881254732608795,0.014476903714239597,2257.93162324623,2299.9436372522487,4674.592008295747,0.10489363522873711,-293.343017578125,103.4578857421875,-13.003966331481934,19.64719009399414,-14.164201736450195,-3.8869311809539795,-15.286444664001465,-4.6943864822387695,-8.967902183532715,-7.757906436920166,-10.521425247192383,-4.366157054901123,-8.531110763549805,-1.6900722980499268,-5.194414138793945,-1.6879842281341553,-5.986875534057617,-0.07529653608798981,-5.417021751403809,-0.28367379307746887,artifact
artifact__201105040918.wav,0.6105780005455017,0.000405775208491832,5173.122206076,2606.9315675109087,7950.719019309761,0.48460026377255155,-750.83349609375,29.68585968017578,-4.507758617401123,-2.470311403274536,-4.9134674072265625,-1.428127646446228,-1.8647658824920654,0.2250899076461792,-4.211214542388916,0.1755117028951645,-5.344705581665039,0.8721736669540405,-3.9027481079101562,1.0357834100723267,-3.608309507369995,0.42283695936203003,-3.4018714427948,0.9984987378120422,-2.479217767715454,1.0620183944702148,artifact
artifact__201106070537.wav,0.36483317613601685,0.00984108354896307,2128.86811626237,1833.2904220479534,3793.839602126289,0.14190862596649484,-339.0566711425781,108.69758605957031,-50.49856948852539,30.507198333740234,-18.117368698120117,-4.704294204711914,-8.30152416229248,2.4640870094299316,-4.335129737854004,-1.763900637626648,-21.907203674316406,-6.72757625579834,-5.128147125244141,0.019409887492656708,-12.619889259338379,1.2945761680603027,-7.145846366882324,-4.677009105682373,-5.420754909515381,4.289588451385498,artifact
artifact__201105190800.wav,0.6412275433540344,0.0024805981665849686,3782.993883402759,2490.1984395810537,6477.470539525612,0.3172959789787371,-530.646728515625,60.78660583496094,-23.651714324951172,5.887451171875,-5.440627098083496,-0.9154351353645325,-10.565858840942383,-2.1362922191619873,-7.178317070007324,-4.204741954803467,-7.745040416717529,-0.2427881360054016,-3.5071446895599365,-0.312709778547287,-2.2573421001434326,1.3836804628372192,-4.036072731018066,-0.24354413151741028,-1.877526044845581,0.6971210837364197,artifact
artifact__201106010602.wav,0.7408931255340576,0.3512052595615387,3706.4348630405275,2665.1115598663,6887.211876308795,0.28362848340850516,88.36084747314453,38.93526077270508,-26.960474014282227,14.10684585571289,-10.827706336975098,1.9113351106643677,-7.935247421264648,0.7762481570243835,-8.318103790283203,-0.7946986556053162,-3.4830172061920166,1.420265555381775,-3.223435878753662,2.2599539756774902,-1.832593321800232,0.33848777413368225,-4.212101459503174,0.1690700501203537,-4.448814868927002,0.7994604706764221,artifact
artifact__201106041452.wav,0.6232102513313293,0.36473989486694336,2762.336549405441,2480.78395906875,5479.312228173325,0.12220245046713918,10.201569557189941,77.5439682006836,-25.60923957824707,12.649130821228027,-5.117594242095947,1.3568001985549927,-7.8379597663879395,-1.3642657995224,-6.721032619476318,-3.7871034145355225,-7.074800968170166,2.5743160247802734,-2.9577813148498535,0.5863752961158752,-2.0209155082702637,1.013365387916565,-2.9786717891693115,0.10016694664955139,-0.8887901902198792,1.9245343208312988,artifact
